subject,description,category
Blocked from system,Please reset my Windows login password.,Access
Unable to install software,I'm unable to install the software needed for work.,Software
Network drive unavailable,Internet is very slow and affects meetings.,Network
Software update failed,License has expired and I can't open the program.,Software
Keyboard not working,Keyboard keys are unresponsive.,Hardware
Blocked from system,My email account has been locked unexpectedly.,Access
System overheating,The system gets very hot after a few minutes of use.,Hardware
Slow network,Cannot access the shared network drive.,Network
Slow network,Cannot access the shared network drive.,Network
Battery not charging,My laptop won't power on even after plugging in.,Hardware
Software update failed,The application crashes upon launch.,Software
Low toner warning,Can't connect to the network printer.,Printer
Blocked from system,Access to internal systems is blocked after update.,Access
Request folder access,Facing issues with two-factor authentication.,Access
License expired,I'm unable to install the software needed for work.,Software
Low toner warning,Print jobs remain in queue and don’t print.,Printer
Low toner warning,The printer shows a low toner warning.,Printer
Slow network,VPN is not connecting to the internal network.,Network
Cannot connect to printer,Print jobs remain in queue and don’t print.,Printer
Software update failed,The application crashes upon launch.,Software
Low toner warning,The printer shows a low toner warning.,Printer
Keyboard not working,Keyboard keys are unresponsive.,Hardware
Password reset needed,Facing issues with two-factor authentication.,Access
Email account locked,My email account has been locked unexpectedly.,Access
WiFi disconnecting,No internet connection since morning.,Network
Printer not working,Print jobs remain in queue and don’t print.,Printer
Blue screen error,Getting a blue screen error frequently.,Hardware
Cannot connect to printer,Print jobs remain in queue and don’t print.,Printer
Request folder access,My email account has been locked unexpectedly.,Access
Email account locked,I need access to the shared finance folder.,Access
No internet access,WiFi keeps disconnecting every few minutes.,Network
Unable to install software,The update fails with an unknown error.,Software
Printer not working,Can't connect to the network printer.,Printer
Low toner warning,The printer is not responding to any print commands.,Printer
Blue screen error,My laptop won't power on even after plugging in.,Hardware
Blue screen error,My laptop won't power on even after plugging in.,Hardware
Email account locked,I need access to the shared finance folder.,Access
Password reset needed,My email account has been locked unexpectedly.,Access
System overheating,The battery doesn't hold charge even after full night charging.,Hardware
App crash issue,The application runs extremely slow on my computer.,Software
System overheating,The battery doesn't hold charge even after full night charging.,Hardware
No internet access,VPN is not connecting to the internal network.,Network
Blue screen error,Keyboard keys are unresponsive.,Hardware
Network drive unavailable,Cannot access the shared network drive.,Network
Laptop not starting,Keyboard keys are unresponsive.,Hardware
Blocked from system,Access to internal systems is blocked after update.,Access
Battery not charging,My laptop won't power on even after plugging in.,Hardware
Print jobs stuck,There is a paper jam and I can't remove it.,Printer
Email account locked,Access to internal systems is blocked after update.,Access
Paper jam issue,Can't connect to the network printer.,Printer
Laptop not starting,My laptop won't power on even after plugging in.,Hardware
System overheating,My laptop won't power on even after plugging in.,Hardware
Slow application,License has expired and I can't open the program.,Software
2FA issue,Access to internal systems is blocked after update.,Access
Network drive unavailable,No internet connection since morning.,Network
Slow network,Cannot access the shared network drive.,Network
License expired,License has expired and I can't open the program.,Software
App crash issue,The application runs extremely slow on my computer.,Software
Password reset needed,Facing issues with two-factor authentication.,Access
Laptop not starting,Getting a blue screen error frequently.,Hardware
Unable to install software,The update fails with an unknown error.,Software
Network drive unavailable,No internet connection since morning.,Network
VPN not connecting,VPN is not connecting to the internal network.,Network
Printer not working,Can't connect to the network printer.,Printer
Battery not charging,The system gets very hot after a few minutes of use.,Hardware
Printer not working,The printer shows a low toner warning.,Printer
Slow network,WiFi keeps disconnecting every few minutes.,Network
VPN not connecting,Cannot access the shared network drive.,Network
Software update failed,The update fails with an unknown error.,Software
2FA issue,Facing issues with two-factor authentication.,Access
Low toner warning,The printer is not responding to any print commands.,Printer
App crash issue,The update fails with an unknown error.,Software
Battery not charging,Keyboard keys are unresponsive.,Hardware
Unable to install software,The update fails with an unknown error.,Software
Low toner warning,The printer is not responding to any print commands.,Printer
Email account locked,Access to internal systems is blocked after update.,Access
Blocked from system,Facing issues with two-factor authentication.,Access
Laptop not starting,The battery doesn't hold charge even after full night charging.,Hardware
Keyboard not working,Keyboard keys are unresponsive.,Hardware
No internet access,WiFi keeps disconnecting every few minutes.,Network
Laptop not starting,The system gets very hot after a few minutes of use.,Hardware
Software update failed,The update fails with an unknown error.,Software
Slow network,No internet connection since morning.,Network
Cannot connect to printer,There is a paper jam and I can't remove it.,Printer
Keyboard not working,My laptop won't power on even after plugging in.,Hardware
Request folder access,Access to internal systems is blocked after update.,Access
Software update failed,The application runs extremely slow on my computer.,Software
System overheating,Getting a blue screen error frequently.,Hardware
Software update failed,License has expired and I can't open the program.,Software
Print jobs stuck,Can't connect to the network printer.,Printer
WiFi disconnecting,WiFi keeps disconnecting every few minutes.,Network
Keyboard not working,Keyboard keys are unresponsive.,Hardware
WiFi disconnecting,Internet is very slow and affects meetings.,Network
Unable to install software,The application crashes upon launch.,Software
No internet access,WiFi keeps disconnecting every few minutes.,Network
Network drive unavailable,Cannot access the shared network drive.,Network
Battery not charging,My laptop won't power on even after plugging in.,Hardware
VPN not connecting,No internet connection since morning.,Network
System overheating,My laptop won't power on even after plugging in.,Hardware
Slow network,VPN is not connecting to the internal network.,Network
